Trial,Sites,Germ_Per,Day_Till,SE_Days,Color,Decid
1,Tabiona,50,17,9.69,Grey,Y
1,Tabiona,10,5,0,Green,N
2,Tabiona,30,9,5,Grey,Y
2,Tabiona,50,11.8,3.36,Green,N
1,Provo_Overlook,30,50,6.02,Grey,N
1,Canyon_View,20,41.5,21.5,Grey,
2,Canyon_View,30,9,5,Grey,
1,Canyon_View,30,10.3,4.91,Green,
2,Canyon_View,30,14,5,Green,
1,Vineyard,20,7,0,,
1,Provo_River_Trail,20,5.5,1.5,,
1,Lehi_Highway,40,15.75,3.71,X,
2,Lehi_Highway,50,12.4,0.6,X,
1,Lehi_Highway,20,5,0,Y,
2,Lehi_Highway,40,13,0,Y,
1,MTEC_Lehi,70,7.57,1.21,X,
2,MTEC_Lehi,80,6.25,1.47,X,
1,MTEC_Lehi,10,53,0,Y,
1,Washington,10,5,0,,
1,Inlet_Park,20,5,0,Grey,N
2,Inlet_Park,30,4,0,Grey,N
1,Inlet_Park,80,17.8,4.58,Green,Y
2,Inlet_Park,50,15.2,2.91,Green,Y
1,Bluffdale,20,24,0,Grey,N
1,Bluffdale,50,25,5.54,Green,Y
2,Bluffdale,30,19,0,Green,Y
